SheetNo,GPSMarker,RecordingFileName,Region,TransectID,Site,Point,Visit,LatitudeHr,LatitudeMin,LatitudeSec,LongitudeHr,LongitudeMin,LongitudeSec,Elevation,Year,Month,Day,CloudCover,Precipitation,BeaufortWindScale,nHikers,Observer,StartTimeHr,StartTimeMin,BirdNo,Species,DistanceBin,TimeBin,Quadrant,Flock,IndividualComments,RecordingChecks,SurveyComments
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,32,EUST,E,D,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,33,EUST,E,D,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,34,EUST,E,D,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,35,EUST,E,D,3,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,36,AMRO,A,A,4,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,37,NOFL,A,D,4,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,38,AMRO,C,A,4,,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,39,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,40,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,41,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,42,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,43,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,44,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,45,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,46,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,47,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,48,EUST,F,,,1,,,
2,25,STE-040,LowerMainland,1,CLPA,1,1,49,21,595,123,6,122,180,2023,2,8,70,0,0,,RM,9,7,49,EUST,F,,,,,,
3,26,STE-041,LowerMainland,1,BCMC,1,1,49,22,205,123,5,810,319,2023,2,8,95,0,0,,RM,10,20,1,ANHU,A,C,1,,,,Ridge w/ dense young cedars along
3,26,STE-041,LowerMainland,1,BCMC,1,1,49,22,205,123,5,810,319,2023,2,8,95,0,0,,RM,10,20,2,PAWR,A,D,4,,,,Ridge w/ dense young cedars along
3,26,STE-041,LowerMainland,1,BCMC,1,1,49,22,205,123,5,810,319,2023,2,8,95,0,0,,RM,10,20,3,GCKI,B,C,4,,Could be CBCH? Check recording.,,Ridge w/ dense young cedars along
3,26,STE-041,LowerMainland,1,BCMC,1,1,49,22,205,123,5,810,319,2023,2,8,95,0,0,,RM,10,20,4,CORA,E,B,4,,,,Ridge w/ dense young cedars along
3,26,STE-041,LowerMainland,1,BCMC,1,1,49,22,205,123,5,810,319,2023,2,8,95,0,0,,RM,10,20,5,CORA,E,B,4,,,,Ridge w/ dense young cedars along
3,26,STE-041,LowerMainland,1,BCMC,1,1,49,22,205,123,5,810,319,2023,2,8,95,0,0,,RM,10,20,6,CORA,F,,,,,,Ridge w/ dense young cedars along
4,27,STE-042,LowerMainland,1,BCMC,2,1,49,22,281,123,5,592,385,2023,2,8,100,0,0,2,RM,11,11,1,GCKI,B,D,2,,,,"Some stream noise, maybe have hidden high canopy calls. Lots of ""am I imagining that call?"" moments."
5,28,STE-043,LowerMainland,1,BCMC,3,1,49,22,328,123,5,500,491,2023,2,8,100,0,0,5,RM,12,3,1,PAWR,B,D,4,,Moved to Q4 Distance Bin A,Possible CBCH 3 min? Check recording. Stream noise an issue.,
6,29,STE-044,LowerMainland,1,BCMC,4,1,49,22,295,123,5,350,592,2023,2,8,100,0,0,,RM,12,51,1,RBNU,D,D,2,,,Possible CBCH NW around 0:30-2:30. Check recording.,
6,29,STE-044,LowerMainland,1,BCMC,4,1,49,22,295,123,5,350,592,2023,2,8,100,0,0,,RM,12,51,2,RBNU,C,A,3,,Moved N within Q3 Distance Bin C,Possible CBCH NW around 0:30-2:30. Check recording.,
6,29,STE-044,LowerMainland,1,BCMC,4,1,49,22,295,123,5,350,592,2023,2,8,100,0,0,,RM,12,51,3,AMCR,E,A,3,,,Possible CBCH NW around 0:30-2:30. Check recording.,
6,29,STE-044,LowerMainland,1,BCMC,4,1,49,22,295,123,5,350,592,2023,2,8,100,0,0,,RM,12,51,4,GCKI,B,A,4,,,Possible CBCH NW around 0:30-2:30. Check recording.,
6,29,STE-044,LowerMainland,1,BCMC,4,1,49,22,295,123,5,350,592,2023,2,8,100,0,0,,RM,12,51,5,PAWR,E,A,4,,Could be the stream. Check recording.,Possible CBCH NW around 0:30-2:30. Check recording.,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,1,PISI,A,A,1,,PISI or CBCH? Check recording.,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,2,VATH,B,C,1,,Uncertain. Check recording.,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,3,CBCH,A,A,2,,,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,4,BAEA,B,A,2,,,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,5,CORA,C,A,2,,,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,6,CBCH,A,A,3,,,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,7,UNID,B,D,3,,Moved S,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,8,VATH,B,D,3,1,Moved S,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,9,VATH,B,D,3,1,Moved S,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,10,VATH,B,D,3,1,Moved S,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,11,CORA,C,A,3,,,,
7,30,STE-045,LowerMainland,1,BCMC,5,1,49,22,306,123,5,248,689,2023,2,8,100,0,0,,RM,13,35,12,GULL,E,B,4,,,,
8,31,STE-046,LowerMainland,1,BCMC,6,1,49,22,302,123,5,85,808,2023,2,8,100,0,0,2,RM,14,22,1,CBCH,A,C,2,,Countercall Bird 5,,
8,31,STE-046,LowerMainland,1,BCMC,6,1,49,22,302,123,5,85,808,2023,2,8,100,0,0,2,RM,14,22,2,CBCH,B,A,2,,,,
8,31,STE-046,LowerMainland,1,BCMC,6,1,49,22,302,123,5,85,808,2023,2,8,100,0,0,2,RM,14,22,3,RBNU,E,A,2,,,,
8,31,STE-046,LowerMainland,1,BCMC,6,1,49,22,302,123,5,85,808,2023,2,8,100,0,0,2,RM,14,22,4,CBCH,A,C,3,,,,
8,31,STE-046,LowerMainland,1,BCMC,6,1,49,22,302,123,5,85,808,2023,2,8,100,0,0,2,RM,14,22,5,VATH,C,C,3,,Uncertain. Check recording.,,
8,31,STE-046,LowerMainland,1,BCMC,6,1,49,22,302,123,5,85,808,2023,2,8,100,0,0,2,RM,14,22,6,CORA,E,C,3,,,,
8,31,STE-046,LowerMainland,1,BCMC,6,1,49,22,302,123,5,85,808,2023,2,8,100,0,0,2,RM,14,22,7,CBCH,A,A,4,,Countercall Bird 1,,
8,31,STE-046,LowerMainland,1,BCMC,6,1,49,22,302,123,5,85,808,2023,2,8,100,0,0,2,RM,14,22,8,CBCH,B,A,4,,,,
9,32,STE-047,LowerMainland,2,CDCY,1,1,49,21,552,123,6,860,170,2023,2,10,100,0,1,5,RM,8,17,1,RBNU,B,A,1,,,,
9,32,STE-047,LowerMainland,2,CDCY,1,1,49,21,552,123,6,860,170,2023,2,10,100,0,1,5,RM,8,17,2,CBCH,B,D,2,,"CBCH or BCCH? Check recording. Part of a flock noted after survey, should be CBCH but confirm.",,
9,32,STE-047,LowerMainland,2,CDCY,1,1,49,21,552,123,6,860,170,2023,2,10,100,0,1,5,RM,8,17,3,RBNU,C,C,2,,,,
9,32,STE-047,LowerMainland,2,CDCY,1,1,49,21,552,123,6,860,170,2023,2,10,100,0,1,5,RM,8,17,4,GCKI,A,A,3,,Moved NE to Q1 Distance Bin B. Potential flock with Bird 5,,
9,32,STE-047,LowerMainland,2,CDCY,1,1,49,21,552,123,6,860,170,2023,2,10,100,0,1,5,RM,8,17,5,GCKI,A,A,3,,Moved NE to Q1 Distance Bin B. Potential flock with Bird 4,,
9,32,STE-047,LowerMainland,2,CDCY,1,1,49,21,552,123,6,860,170,2023,2,10,100,0,1,5,RM,8,17,6,AMCR,C,C,3,,,,
9,32,STE-047,LowerMainland,2,CDCY,1,1,49,21,552,123,6,860,170,2023,2,10,100,0,1,5,RM,8,17,7,CORA,C,A,4,,,,
9,32,STE-047,LowerMainland,2,CDCY,1,1,49,21,552,123,6,860,170,2023,2,10,100,0,1,5,RM,8,17,8,PAWR,B,A,4,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,1,AMCR,C,A,1,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,2,AMCR,C,A,1,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,3,AMCR,D,A,1,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,4,STJA,D,C,1,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,5,CORA,D,C,1,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,6,CORA,D,D,1,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,7,AMCR,D,A,2,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,8,AMCR,D,A,2,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,9,AMCR,D,A,2,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,10,DEJU,A,B,3,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,11,ANHU,B,D,3,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,12,AMCR,A,A,4,,Moved NNE to Q1 Distance Bin C.,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,13,HOFI,B,B,4,,Uncertain. Check recording.,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,14,BCCH,B,B,4,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,15,STJA,C,A,4,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,16,SOSP,C,D,4,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,17,AMCR,D,A,4,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,18,BCCH,D,B,4,,,,
10,33,STE-048,LowerMainland,2,CDCY,2,1,49,21,585,123,7,541,220,2023,2,10,100,1,0,,RM,9,1,19,BCCH,D,B,4,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,1,AMRO,A,A,1,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,2,DEJU,A,D,1,,Uncertain. Check recording (~9:30).,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,3,STJA,B,D,1,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,4,RBNU,D,A,1,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,5,CORA,D,B,2,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,6,AMCR,B,A,3,,Moved NE.,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,7,AMCR,C,A,3,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,8,BCCH,C,C,3,,Moved N to Q4 Distance Bin A. Potentially same individual as Bird 10.,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,9,STJA,C,C,3,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,10,BCCH,A,D,4,,Potentially same individual as Bird 8.,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,11,BEWR,B,C,4,,Might be DEJU? Check recording.,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,12,RBNU,B,D,4,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,13,AMCR,D,A,4,,,,
11,34,STE-049,LowerMainland,2,CDCY,3,1,49,21,584,123,7,771,282,2023,2,10,100,0,0,,RM,9,30,14,AMCR,D,A,4,,,,
12,35,STE-050,LowerMainland,2,CDCY,4,1,49,21,345,123,9,435,421,2023,2,10,100,1,0,,RM,10,37,1,GCKI,B,A,2,,,,Road and stream noise likely a factor.
12,35,STE-050,LowerMainland,2,CDCY,4,1,49,21,345,123,9,435,421,2023,2,10,100,1,0,,RM,10,37,2,CORA,E,C,3,,,,Road and stream noise likely a factor.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,1,DEJU,A,A,1,1,Flock moved to Q4 Distance Bin A & B.,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,2,DEJU,A,A,1,1,Flock moved to Q4 Distance Bin A & B.,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,3,DEJU,A,A,1,1,Flock moved to Q4 Distance Bin A & B.,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,4,DEJU,A,A,1,1,Flock moved to Q4 Distance Bin A & B.,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,5,PISI,A,D,1,2,Flock moved S.,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,6,PISI,A,D,1,2,,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,7,PISI,A,D,1,2,,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,8,BRCR,B,B,1,,,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,9,CORA,D,B,1,,,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,10,CORA,D,B,3,,,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,11,DEJU,A,A,4,1,Flock moved to Q4 Distance Bin A & B.,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,12,DEJU,A,A,4,1,Flock moved to Q4 Distance Bin A & B.,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,13,CORA,A,A,4,,Moved ESE.,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,14,CORA,D,B,4,,,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,15,CORA,E,C,4,,,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
13,36,STE-051,LowerMainland,2,CDCY,5,1,49,21,573,123,9,452,541,2023,2,10,100,1,1,,RM,11,17,16,CORA,E,C,4,,,"Potential CBCH 6:30 NW, 50-75m. Check recording.",Road noise still a factor. Powerline cut. Beafort Wind Scale up to 3.
14,37,STE-052,LowerMainland,2,CDCY,6,1,49,21,853,123,9,679,627,2023,2,10,100,1,1,,RM,11,55,,,,,,,,"Potential CBCH 6:30 S, <25m. Potential CBCH NE at 10:10, <25m.","Lots of water noise, confluence of 2 streams. Lots of ""am I hearing something?"" moments."
15,38,STE-053,LowerMainland,2,CDCY,7,1,49,22,110,123,9,866,712,2023,2,10,100,1,1,,RM,12,28,1,VATH,A,B,1,1,Flock moved S.,,Beaufort Wind Scale up to 2 at times.
